,ws,Technology,par,unit,est,year,val
271,large hot water tank,large-scale hot water tanks (steel),construction time,years,control,2030,0.5
272,large hot water tank,large-scale hot water tanks (steel),construction time,years,control,2040,0.5
273,large hot water tank,large-scale hot water tanks (steel),construction time,years,control,2050,0.5
274,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,lower,2020,0.143
275,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,lower,2050,0.143
276,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,upper,2020,0.243
277,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,upper,2050,0.243
278,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,control,2015,0.186
279,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,control,2020,0.186
280,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,control,2030,0.186
281,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,control,2040,0.186
282,large hot water tank,large-scale hot water tanks (steel),energy losses during storage,percent/day,control,2050,0.186
283,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,lower,2020,45.0
284,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,lower,2050,45.0
285,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,upper,2020,315.0
286,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,upper,2050,315.0
287,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,control,2015,175.0
288,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,control,2020,175.0
289,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,control,2030,175.0
290,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,control,2040,175.0
291,large hot water tank,large-scale hot water tanks (steel),energy storage capacity for one unit,MWh,control,2050,175.0
292,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,lower,2020,0.0
293,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,lower,2050,0.0
294,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,upper,2020,3.0
295,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,upper,2050,3.0
296,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,control,2015,0.0
297,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,control,2020,0.0
298,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,control,2030,0.0
299,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,control,2040,0.0
300,large hot water tank,large-scale hot water tanks (steel),forced outage,percent,control,2050,0.0
310,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,lower,2020,0.8
311,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,lower,2050,0.8
312,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,upper,2020,5.3
313,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,upper,2050,5.3
314,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,control,2015,2.9
315,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,control,2020,2.9
316,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,control,2030,2.9
317,large hot water tank,large-scale hot water tanks (steel),input capacity for one unit,MW,control,2040,2.9
